nom,code_postal,commune,numero,voie,lieu_dit,site_internet,longitude,latitude,personnel_aidant,largeur_entree,aide_audition,entree_balise_sonore,sanitaires_pmr,stationnement_pmr,labels,types_handicap,difficulte_chemin_ext,difficulte_entree,difficulte_chemin_accueil,score
Agence Postale,23480,Saint-Sulpice-les-Champs,4,Rue de la Poste,,,2.0232573151588444,45.99462496401409,1,90,,,,1,,,1,,,1.45
Agence postale communale,86150,Moussac,2,Place de la Liberte,,https://moussac-sur-vienne.fr,0.6872087717056274,46.28174924818857,1,90,,,1,1,,,1,,,1.91
Agence postale communale,70500,Corre,1,Rue Emile Hauviller,,,5.994364321231842,47.91784126405889,,90,1,,1,1,,,,,,1.64
Agence Postale Communale,91590,Boissy-le-Cutté,2,Grande Rue,,,2.2821387648582463,48.46908014019716,1,92,,,,1,,,2,,,1.18
Agence Postale Communale,86410,Lhommaizé,12,Route de Morthemer,,,0.597999,46.435978,,,1,,,1,,,1,,,1.55
Agence principale,78800,Houilles,1,Avenue Charles de Gaulle,,,2.184865772724152,48.92117037840462,,80,,,,1,,,,,,0.82
Agence principale,78500,Sartrouville,46,Avenue Jean Jaures,,,2.1597613692938467,48.94028177462188,,80,,,,1,,,,1,,1.09
Aide juridique – Point d'accès au droit (PAD),92400,Courbevoie,39,Rue Victor Hugo,,,2.257119,48.894036,,83,1,,0,1,,,1,,,1.55
Aigle,59800,LILLE,68,Rue ESQUERMOISE,,,3.060725,50.638324,,140,,,,,,,,1,1,1.18
Aigle International,10150,PONT-SAINTE-MARIE,,VOIE DU BOIS,,,4.106582701206208,48.32915769641069,,90,,,1,1,,,1,,,1.45
Aile Medicale,54000,NANCY,12,Rue ST LEON,12-14,,6.172111630439759,48.689547448007936,1,100,,,,1,,,2,,,1.27
Air-Clope.com,92270,Bois-Colombes,5,Rue du Général Leclerc,,,2.272383,48.913348,1,80,,,,,,,,1,,1.09
AIRE NATURELLE DU CHU CHELLION,85210,Thiré,,Rue de la Fontaine,,,-1.007485,46.550572,,,,,,,th,moteur|auditif|mental|visuel,,,,1.09
Aire Schtroumpfland,64990,Saint-Pierre-d'Irube,3,Avenue du Portou,,,-1.443399,43.478829,1,140,1,1,1,1,,,,,,2.91
Airotel la Mignardiere,37510,Ballan-Miré,22,Avenue des Aubépines,,http://www.mignardiere.com/,0.633919,47.354964,,,,,,,th,moteur|auditif|mental|visuel,,,,1.09
AKJ EXOTIQUE,77127,Lieusaint,1 quater,Rue de la Prairie,,,2.552079,48.632831,,90,,,,,,,,,,0.27
A la Bonne Adresse,69003,LYON 3EME,26,Rue FRANCOIS GARCIN,,,4.849731,45.759432,1,150,,,0,1,,,,1,,1.82
A la Cloche Lorraine,55200,Commercy,8,Place Charles de Gaulle,,http://www.madeleine-commercy.com/,5.592242181301117,48.761540691177636,1,90,,,,1,,,,,,1.18
Alain Afflelou,92110,CLICHY,59,Boulevard JEAN JAURES,59 A 61,,2.305535,48.900689,1,140,,,,1,,,,1,,1.82
Alain Afflelou,78800,HOUILLES,6,Rue DE L EGLISE,6-8,,2.188416,48.92532,,90,,,,1,,,,,,0.73
Alain Afflelou Acousticien,42000,Saint-Étienne,22,Place des Ursules,,https://www.alainafflelou-acousticien.fr/audioprothesiste/saint-etienne/afflelou-22-place-des-ursules-42000?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.387619197368623,45.434459884950435,1,100,,,,1,,,,,,1.27
Alain Afflelou Acousticien,10000,TROYES,21,Boulevard DU QUATORZE JUILLET,,,4.078150071827622,48.29383970889385,1,90,,,,1,,,1,,,1.45
A L'Aise Breizh,22100,Dinan,8,Rue de l'Apport,,,-2.043348,48.453666,1,,,,,1,,,2,,,1.27
Alcéane,76290,Montivilliers,4,Rue des Murets,,,0.181458,49.544158,,,,,,1,,,1,1,2,1.36
Al - Coiffure,69120,Vaulx-en-Velin,21,Rue Emile Zola,,,4.918485,45.777632,1,,,,,,,,,,,0.82
